"チケットNo","概要","優先度","重要度","マイルストーン","開発担当者","評価担当者","進捗","担当ラボ"
"10733","Forbid the double click in CIM page","低","低","2016-12-VerUP","羅 毅","","開発中","ConnectorLab."
"12152","[Connector Document] Create document for CWS in gitbook","中","中","2016-12-VerUP","津田 薫","羅 毅","検討","ConnectorLab."
"12178","[AD/LDAP] Support comma in CN","中","高","2016-12-VerUP","陳霄","","検討","ConnectorLab."
"12248","[ExtOutputService] Add option not to unique output records","中","中","2016-12-VerUP","羅 毅","","検討","ConnectorLab."
"12352","[ExtOutputService] Add an option to turn on/off the feature ""replace all once"".","中","中","2016-12-VerUP","羅 毅","","検討","ConnectorLab."
"12361","[ExtOutputService] Support to output ResourceKind and RoleMember properties.","中","中","2016-12-VerUP","羅 毅","","検討","ConnectorLab."
"12449","[IntraMart] Implement SmartEnable/SmartDisable for IMMaster","中","中","2016-12-VerUP","李 旭","","検討","ConnectorLab."
"12474","[ExtOutputService] ExtOutput improvement.","中","中","2016-12-VerUP","羅 毅","津田 薫","検討","ConnectorLab."
"12514","[Domino/Notes] RoleMember apply failed when other Account apply is behind it in the same day","中","中","2016-12-VerUP","李 旭","","開発中","ConnectorLab."
"12534","[ExtOutputService] Support to import old output definition file","中","中","2016-12-VerUP","羅 毅","","検討","ConnectorLab."
"12547","[AD/LDAP] When ドメインROOT is not OU, inventory can not match it","中","中","2016-12-VerUP","津田 薫","","検討","ConnectorLab."
"12567","[GoogleApps]Account will be deleted in add apply","高","最高","2016-12-VerUP","津田 薫","","検討","ConnectorLab."
"12614","[Connector] Investigate feasibility of Oracle EBS Connector","中","中","2016-12-VerUP","陳霄","","検討","ConnectorLab."
"12641","[NewFeature]Allow AutoCreator(sequence) to be used by ExtOutput","中","中","2016-12-VerUP","羅 毅","","検討","ConnectorLab."
